,Coach,Team,numSznsWTeam,numTotSzns,curr_games,curr_wins,curr_losses,franch_games,franch_wins,franch_losses,tot_games,tot_wins,tot_losses,win_percent,curr_pl_games,curr_pl_wins,curr_pl_losses,franch_pl_games,franch_pl_wins,franch_pl_losses,tot_pl_games,tot_pl_wins,tot_pl_losses,Season
577,Tom Nissalke,CLE,1,12,82,23,59,82,23,59,797,343,454,0.43,,,,,,,31.0,11.0,20.0,1982
578,Dick Motta,DAL,3,15,82,38,44,246,81,165,1230,622,608,0.506,,,,,,,98.0,45.0,53.0,1982
579,Doug Moe,DEN,3,7,82,45,37,215,117,98,527,294,233,0.5579999999999999,8.0,3.0,5.0,11.0,4.0,7.0,33.0,13.0,20.0,1982
580,Scotty Robertson,DET,3,5,82,37,45,246,97,149,287,109,178,0.38,,,,,,,,,,1982
581,Al Attles,GSW,14,14,82,30,52,1075,557,518,1075,557,518,0.518,,,,61.0,31.0,30.0,61.0,31.0,30.0,1982
582,Del Harris,HOU,4,4,82,14,68,328,141,187,328,141,187,0.43,,,,31.0,15.0,16.0,31.0,15.0,16.0,1982
583,Jack McKinney,IND,3,4,82,20,62,246,99,147,260,109,151,0.419,,,,2.0,0.0,2.0,2.0,0.0,2.0,1982
584,Cotton Fitzsimmons,KCK,5,12,82,45,37,410,210,200,976,474,502,0.486,,,,23.0,9.0,14.0,29.0,11.0,18.0,1982
585,Pat Riley,LAL,2,2,82,58,24,153,108,45,153,108,45,0.706,15.0,8.0,7.0,29.0,20.0,9.0,29.0,20.0,9.0,1982
586,Don Nelson,MIL,7,7,82,51,31,556,324,232,556,324,232,0.583,9.0,5.0,4.0,38.0,18.0,20.0,38.0,18.0,20.0,1982
587,Larry Brown,NJN,2,9,76,47,29,158,91,67,711,446,265,0.627,,,,2.0,0.0,2.0,63.0,28.0,35.0,1982
588,Bill Blair,NJN,1,1,6,2,4,6,2,4,6,2,4,0.33299999999999996,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1982
589,Hubie Brown,NYK,1,8,82,44,38,82,44,38,657,347,310,0.528,6.0,2.0,4.0,6.0,2.0,4.0,47.0,25.0,22.0,1982
590,Billy Cunningham,PHI,6,6,82,65,17,486,344,142,486,344,142,0.708,13.0,12.0,1.0,87.0,56.0,31.0,87.0,56.0,31.0,1982
591,John MacLeod,PHO,10,10,82,53,29,820,448,372,820,448,372,0.546,3.0,1.0,2.0,61.0,28.0,33.0,61.0,28.0,33.0,1982
592,Jack Ramsay,POR,7,15,82,46,36,574,323,251,1230,655,575,0.5329999999999999,7.0,3.0,4.0,41.0,22.0,19.0,80.0,36.0,44.0,1982
593,Stan Albeck,SAS,3,5,82,53,29,246,153,93,399,217,182,0.544,11.0,6.0,5.0,27.0,13.0,14.0,27.0,13.0,14.0,1982
594,Paul Silas,SDC,3,3,82,25,57,246,78,168,246,78,168,0.317,,,,,,,,,,1982
595,Lenny Wilkens,SEA,9,11,82,48,34,716,405,311,880,480,400,0.545,2.0,0.0,2.0,64.0,35.0,29.0,64.0,35.0,29.0,1982
596,Frank Layden,UTA,2,2,82,30,52,144,47,97,144,47,97,0.326,,,,,,,,,,1982
597,Gene Shue,WSB,10,17,82,42,40,794,415,379,1292,650,642,0.503,,,,47.0,17.0,30.0,69.0,28.0,41.0,1982
598,Cotton Fitzsimmons,ATL,1,3,82,46,36,82,46,36,246,143,103,0.581,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,1972
599,Gene Shue,BAL,7,7,82,52,30,548,291,257,548,291,257,0.531,5.0,1.0,4.0,40.0,14.0,26.0,40.0,14.0,26.0,1972
600,Tom Heinsohn,BOS,4,4,82,68,14,328,202,126,328,202,126,0.616,13.0,7.0,6.0,24.0,12.0,12.0,24.0,12.0,12.0,1972
601,Jack Ramsay,BUF,1,5,82,21,61,82,21,61,410,195,215,0.47600000000000003,,,,,,,17.0,5.0,12.0,1972
602,Dick Motta,CHI,5,5,82,51,31,410,231,179,410,231,179,0.563,7.0,3.0,4.0,23.0,7.0,16.0,23.0,7.0,16.0,1972
603,Bill Fitch,CLE,3,3,82,32,50,246,70,176,246,70,176,0.285,,,,,,,,,,1972
604,Earl Lloyd,DET,2,2,7,2,5,77,22,55,77,22,55,0.28600000000000003,,,,,,,,,,1972
605,Ray Scott,DET,1,1,75,38,37,75,38,37,75,38,37,0.507,,,,,,,,,,1972
606,Al Attles,GSW,4,4,82,47,35,276,147,129,276,147,129,0.5329999999999999,11.0,5.0,6.0,21.0,7.0,14.0,21.0,7.0,14.0,1972
607,Tex Winter,HOU,2,2,47,17,30,129,51,78,129,51,78,0.395,,,,,,,,,,1972
608,Johnny Egan,HOU,1,1,35,16,19,35,16,19,35,16,19,0.457,,,,,,,,,,1972
609,Bob Cousy,KCO,4,4,82,36,46,328,135,193,328,135,193,0.41200000000000003,,,,,,,,,,1972
610,Bill Sharman,LAL,2,7,82,60,22,164,129,35,573,349,224,0.609,17.0,9.0,8.0,32.0,21.0,11.0,92.0,56.0,36.0,1972
611,Larry Costello,MIL,5,5,82,60,22,410,272,138,410,272,138,0.6629999999999999,6.0,2.0,4.0,41.0,25.0,16.0,41.0,25.0,16.0,1972
612,Red Holzman,NYK,6,10,82,57,25,454,299,155,657,382,275,0.581,17.0,12.0,5.0,80.0,48.0,32.0,88.0,52.0,36.0,1972
613,Roy Rubin,PHI,1,1,51,4,47,51,4,47,51,4,47,0.078,,,,,,,,,,1972
614,Kevin Loughery,PHI,1,1,31,5,26,31,5,26,31,5,26,0.161,,,,,,,,,,1972
615,Butch van Breda Kolff,PHO,1,6,7,3,4,7,3,4,345,192,153,0.557,,,,,,,33.0,21.0,12.0,1972
616,Jerry Colangelo,PHO,2,2,75,35,40,119,59,60,119,59,60,0.496,,,,7.0,3.0,4.0,7.0,3.0,4.0,1972
617,Jack McCloskey,POR,1,1,82,21,61,82,21,61,82,21,61,0.256,,,,,,,,,,1972
618,Tom Nissalke,SEA,1,2,45,13,32,45,13,32,129,55,74,0.426,,,,,,,4.0,0.0,4.0,1972
619,Bucky Buckwalter,SEA,1,1,37,13,24,37,13,24,37,13,24,0.35100000000000003,,,,,,,,,,1972
620,Mike Woodson,ATL,4,4,82,37,45,328,106,222,328,106,222,0.32299999999999995,7.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,4.0,2007
621,Doc Rivers,BOS,4,9,82,66,16,328,168,160,667,339,328,0.508,26.0,16.0,10.0,33.0,19.0,14.0,48.0,24.0,24.0,2007
622,Sam Vincent,CHA,1,1,82,32,50,82,32,50,82,32,50,0.39,,,,,,,,,,2007
623,Scott Skiles,CHI,5,8,25,9,16,337,165,172,532,281,251,0.528,,,,22.0,10.0,12.0,35.0,15.0,20.0,2007
624,Pete Myers,CHI,2,2,1,0,1,3,0,3,3,0,3,0.0,,,,,,,,,,2007
625,Jim Boylan,CHI,1,1,56,24,32,56,24,32,56,24,32,0.429,,,,,,,,,,2007
626,Mike Brown,CLE,3,3,82,45,37,246,145,101,246,145,101,0.589,13.0,7.0,6.0,46.0,26.0,20.0,46.0,26.0,20.0,2007
627,Avery Johnson,DAL,4,4,82,51,31,264,194,70,264,194,70,0.735,5.0,1.0,4.0,47.0,23.0,24.0,47.0,23.0,24.0,2007
628,George Karl,DEN,4,20,82,50,32,286,171,115,1493,879,614,0.589,4.0,0.0,4.0,19.0,3.0,16.0,145.0,62.0,83.0,2007
