,Coach,Team,numSznsWTeam,numTotSzns,curr_games,curr_wins,curr_losses,franch_games,franch_wins,franch_losses,tot_games,tot_wins,tot_losses,win_percent,curr_pl_games,curr_pl_wins,curr_pl_losses,franch_pl_games,franch_pl_wins,franch_pl_losses,tot_pl_games,tot_pl_wins,tot_pl_losses,Season
463,Larry Brown,DEN,5,7,53,28,25,385,251,134,553,355,198,0.642,,,,45.0,21.0,24.0,61.0,28.0,33.0,1978
464,Donnie Walsh,DEN,1,1,29,19,10,29,19,10,29,19,10,0.655,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1978
465,Dick Vitale,DET,1,1,82,30,52,82,30,52,82,30,52,0.366,,,,,,,,,,1978
466,Al Attles,GSW,10,10,82,38,44,768,425,343,768,425,343,0.5529999999999999,,,,61.0,31.0,30.0,61.0,31.0,30.0,1978
467,Tom Nissalke,HOU,3,8,82,47,35,246,124,122,531,260,271,0.49,2.0,0.0,2.0,14.0,6.0,8.0,31.0,11.0,20.0,1978
468,Slick Leonard,IND,11,13,82,38,44,903,492,411,1025,536,489,0.523,,,,116.0,69.0,47.0,116.0,69.0,47.0,1978
469,Cotton Fitzsimmons,KCK,1,8,82,48,34,82,48,34,648,312,336,0.48100000000000004,5.0,1.0,4.0,5.0,1.0,4.0,11.0,3.0,8.0,1978
470,Jerry West,LAL,3,3,82,47,35,246,145,101,246,145,101,0.589,8.0,3.0,5.0,22.0,8.0,14.0,22.0,8.0,14.0,1978
471,Don Nelson,MIL,3,3,82,38,44,228,109,119,228,109,119,0.478,,,,9.0,5.0,4.0,9.0,5.0,4.0,1978
472,Kevin Loughery,NJN,6,7,82,37,45,498,251,247,529,256,273,0.484,2.0,0.0,2.0,34.0,21.0,13.0,34.0,21.0,13.0,1978
473,Elgin Baylor,NOJ,4,4,82,26,56,221,86,135,221,86,135,0.389,,,,,,,,,,1978
474,Willis Reed,NYK,2,2,14,6,8,96,49,47,96,49,47,0.51,,,,6.0,2.0,4.0,6.0,2.0,4.0,1978
475,Red Holzman,NYK,11,15,68,25,43,850,491,359,1053,574,479,0.545,,,,95.0,54.0,41.0,103.0,58.0,45.0,1978
476,Billy Cunningham,PHI,2,2,82,47,35,158,100,58,158,100,58,0.633,9.0,5.0,4.0,19.0,11.0,8.0,19.0,11.0,8.0,1978
477,John MacLeod,PHO,6,6,82,50,32,492,237,255,492,237,255,0.48200000000000004,15.0,9.0,6.0,36.0,19.0,17.0,36.0,19.0,17.0,1978
478,Jack Ramsay,POR,3,11,82,45,37,246,152,94,902,484,418,0.537,3.0,1.0,2.0,28.0,17.0,11.0,67.0,31.0,36.0,1978
479,Doug Moe,SAS,3,3,82,48,34,246,144,102,246,144,102,0.585,14.0,7.0,7.0,22.0,9.0,13.0,22.0,9.0,13.0,1978
480,Gene Shue,SDC,1,13,82,43,39,82,43,39,964,491,473,0.509,,,,,,,62.0,25.0,37.0,1978
481,Lenny Wilkens,SEA,5,7,82,52,30,388,215,173,552,290,262,0.525,17.0,12.0,5.0,39.0,25.0,14.0,39.0,25.0,14.0,1978
482,Dick Motta,WSB,3,11,82,54,28,246,146,100,902,502,400,0.557,19.0,9.0,10.0,49.0,27.0,22.0,96.0,45.0,51.0,1978
483,Mike Fratello,ATL,3,3,82,34,48,167,74,93,167,74,93,0.44299999999999995,,,,5.0,2.0,3.0,5.0,2.0,3.0,1984
484,K.C. Jones,BOS,2,6,82,63,19,164,125,39,494,310,184,0.628,21.0,13.0,8.0,44.0,28.0,16.0,79.0,42.0,37.0,1984
485,Kevin Loughery,CHI,2,13,82,38,44,164,65,99,974,452,522,0.46399999999999997,4.0,1.0,3.0,4.0,1.0,3.0,43.0,23.0,20.0,1984
486,George Karl,CLE,1,1,82,36,46,82,36,46,82,36,46,0.439,4.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,1984
487,Dick Motta,DAL,5,17,82,44,38,410,168,242,1394,709,685,0.509,4.0,1.0,3.0,14.0,5.0,9.0,112.0,50.0,62.0,1984
488,Doug Moe,DEN,5,9,82,52,30,379,207,172,691,384,307,0.556,15.0,8.0,7.0,31.0,14.0,17.0,53.0,23.0,30.0,1984
489,Chuck Daly,DET,2,3,82,46,36,164,95,69,205,104,101,0.507,9.0,5.0,4.0,14.0,7.0,7.0,14.0,7.0,7.0,1984
490,Johnny Bach,GSW,3,3,82,22,60,185,65,120,185,65,120,0.35100000000000003,,,,,,,,,,1984
491,Bill Fitch,HOU,2,15,82,48,34,164,77,87,1230,623,607,0.507,5.0,2.0,3.0,5.0,2.0,3.0,68.0,35.0,33.0,1984
492,George Irvine,IND,1,1,82,22,60,82,22,60,82,22,60,0.268,,,,,,,,,,1984
493,Jack McKinney,KCK,1,6,9,1,8,9,1,8,351,136,215,0.387,,,,,,,2.0,0.0,2.0,1984
494,Phil Johnson,KCK,6,7,73,30,43,414,185,229,415,185,230,0.446,,,,6.0,2.0,4.0,6.0,2.0,4.0,1984
495,Jim Lynam,LAC,2,2,61,22,39,143,52,91,143,52,91,0.364,,,,,,,,,,1984
496,Don Chaney,LAC,1,1,21,9,12,21,9,12,21,9,12,0.429,,,,,,,,,,1984
497,Pat Riley,LAL,4,4,82,62,20,317,224,93,317,224,93,0.7070000000000001,19.0,15.0,4.0,69.0,49.0,20.0,69.0,49.0,20.0,1984
498,Don Nelson,MIL,9,9,82,59,23,720,433,287,720,433,287,0.601,8.0,3.0,5.0,62.0,29.0,33.0,62.0,29.0,33.0,1984
499,Stan Albeck,NJN,2,7,82,42,40,164,87,77,563,304,259,0.54,3.0,0.0,3.0,14.0,5.0,9.0,41.0,18.0,23.0,1984
500,Hubie Brown,NYK,3,10,82,24,58,246,115,131,821,418,403,0.509,,,,18.0,8.0,10.0,59.0,31.0,28.0,1984
501,Billy Cunningham,PHI,8,8,82,58,24,650,454,196,650,454,196,0.698,13.0,8.0,5.0,105.0,66.0,39.0,105.0,66.0,39.0,1984
502,John MacLeod,PHO,12,12,82,36,46,984,525,459,984,525,459,0.534,3.0,0.0,3.0,81.0,37.0,44.0,81.0,37.0,44.0,1984
503,Jack Ramsay,POR,9,17,82,42,40,738,413,325,1394,745,649,0.534,9.0,4.0,5.0,55.0,28.0,27.0,94.0,42.0,52.0,1984
504,Cotton Fitzsimmons,SAS,1,14,82,41,41,82,41,41,1140,553,587,0.485,5.0,2.0,3.0,5.0,2.0,3.0,37.0,13.0,24.0,1984
505,Lenny Wilkens,SEA,11,13,82,31,51,880,478,402,1044,553,491,0.53,,,,69.0,37.0,32.0,69.0,37.0,32.0,1984
506,Frank Layden,UTA,4,4,82,41,41,308,133,175,308,133,175,0.43200000000000005,10.0,4.0,6.0,21.0,9.0,12.0,21.0,9.0,12.0,1984
507,Gene Shue,WSB,12,19,82,40,42,958,490,468,1456,725,731,0.498,4.0,1.0,3.0,55.0,19.0,36.0,77.0,30.0,47.0,1984
508,Mike Budenholzer,ATL,2,2,82,60,22,164,98,66,164,98,66,0.598,16.0,8.0,8.0,23.0,11.0,12.0,23.0,11.0,12.0,2014
509,Brad Stevens,BOS,2,2,82,40,42,164,65,99,164,65,99,0.396,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,2014
510,Lionel Hollins,BRK,1,8,82,38,44,82,38,44,497,252,245,0.507,6.0,2.0,4.0,6.0,2.0,4.0,41.0,20.0,21.0,2014
