,Unnamed: 0,Coach,Team,numSznsWTeam,numTotSzns,curr_games,curr_wins,curr_losses,franch_games,franch_wins,franch_losses,tot_games,tot_wins,tot_losses,win_percent,curr_pl_games,curr_pl_wins,curr_pl_losses,franch_pl_games,franch_pl_wins,franch_pl_losses,tot_pl_games,tot_pl_wins,tot_pl_losses,Season,pl_win_percent,Seasons
644,644,Mike D'Antoni,PHO,5,6,82,55,27,389,253,136,439,267,172,0.608,5.0,1.0,4.0,51.0,26.0,25.0,51.0,26.0,25.0,2007,0.2,1998-2008
645,645,Nate McMillan,POR,3,8,82,41,41,246,94,152,641,306,335,0.477,,,,,,,16.0,8.0,8.0,2007,,1998-2008
647,647,Gregg Popovich,SAS,12,12,82,56,26,934,632,302,934,632,302,0.677,17.0,9.0,8.0,160.0,101.0,59.0,160.0,101.0,59.0,2007,0.5294117647058824,1998-2008
648,648,P.J. Carlesimo,OKC,1,7,82,20,62,82,20,62,487,203,284,0.417,,,,,,,12.0,3.0,9.0,2007,,1998-2008
650,650,Jerry Sloan,UTA,20,23,82,54,28,1591,995,596,1806,1089,717,0.603,12.0,6.0,6.0,181.0,91.0,90.0,187.0,93.0,94.0,2007,0.5,1998-2008
651,651,Eddie Jordan,WAS,5,7,82,43,39,410,196,214,507,229,278,0.452,6.0,2.0,4.0,26.0,8.0,18.0,26.0,8.0,18.0,2007,0.3333333333333333,1998-2008
652,652,Richie Guerin,ATL,6,6,82,48,34,454,255,199,454,255,199,0.562,9.0,4.0,5.0,49.0,23.0,26.0,49.0,23.0,26.0,1969,0.4444444444444444,1959-69
653,653,Gene Shue,WAS,4,4,82,50,32,302,159,143,302,159,143,0.526,7.0,3.0,4.0,11.0,3.0,8.0,11.0,3.0,8.0,1969,0.42857142857142855,1959-69
654,654,Tom Heinsohn,BOS,1,1,82,34,48,82,34,48,82,34,48,0.415,,,,,,,,,,1969,,1959-69
655,655,Dick Motta,CHI,2,2,82,39,43,164,72,92,164,72,92,0.439,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,1969,0.2,1959-69
657,657,Butch van Breda Kolff,DET,1,3,82,31,51,82,31,51,246,138,108,0.561,,,,,,,33.0,21.0,12.0,1969,,1959-69
659,659,Larry Costello,MIL,2,2,82,56,26,164,83,81,164,83,81,0.506,10.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0,5.0,1969,0.5,1959-69
660,660,Red Holzman,NYK,3,7,82,60,22,208,142,66,411,225,186,0.547,19.0,12.0,7.0,35.0,20.0,15.0,43.0,24.0,19.0,1969,0.631578947368421,1959-69
661,661,Jack Ramsay,PHI,2,2,82,42,40,164,97,67,164,97,67,0.591,5.0,1.0,4.0,10.0,2.0,8.0,10.0,2.0,8.0,1969,0.2,1959-69
664,664,Jack McMahon,HOU,3,8,26,9,17,190,61,129,549,260,289,0.474,,,,6.0,2.0,4.0,29.0,10.0,19.0,1969,,1959-69
665,665,Alex Hannum,HOU,1,12,56,18,38,56,18,38,879,491,388,0.5589999999999999,,,,,,,95.0,57.0,38.0,1969,,1959-69
666,666,Lenny Wilkens,OKC,1,1,82,36,46,82,36,46,82,36,46,0.439,,,,,,,,,,1969,,1959-69
668,668,Al Attles,GSW,1,1,30,8,22,30,8,22,30,8,22,0.267,,,,,,,,,,1969,,1959-69
670,670,Doc Rivers,BOS,9,14,81,41,40,721,416,305,1060,587,473,0.5539999999999999,6.0,2.0,4.0,106.0,59.0,47.0,121.0,64.0,57.0,2012,0.3333333333333333,2008-2018
672,672,P.J. Carlesimo,BRK,1,9,54,35,19,54,35,19,554,239,315,0.431,7.0,3.0,4.0,7.0,3.0,4.0,19.0,6.0,13.0,2012,0.42857142857142855,2008-2018
674,674,Tom Thibodeau,CHI,3,3,82,45,37,230,157,73,230,157,73,0.6829999999999999,12.0,5.0,7.0,34.0,16.0,18.0,34.0,16.0,18.0,2012,0.4166666666666667,2008-2018
675,675,Byron Scott,CLE,3,13,82,24,58,230,64,166,937,416,521,0.444,,,,,,,57.0,33.0,24.0,2012,,2008-2018
676,676,Rick Carlisle,DAL,5,11,82,41,41,394,239,155,886,520,366,0.5870000000000001,,,,41.0,23.0,18.0,103.0,53.0,50.0,2012,,2008-2018
677,677,George Karl,DEN,9,25,82,57,25,680,423,257,1887,1131,756,0.599,6.0,2.0,4.0,59.0,21.0,38.0,185.0,80.0,105.0,2012,0.3333333333333333,2008-2018
678,678,Lawrence Frank,DET,2,9,82,29,53,148,54,94,614,279,335,0.454,,,,,,,38.0,18.0,20.0,2012,,2008-2018
681,681,Frank Vogel,IND,3,3,81,49,32,185,111,74,185,111,74,0.6,19.0,11.0,8.0,35.0,18.0,17.0,35.0,18.0,17.0,2012,0.5789473684210527,2008-2018
683,683,Mike Brown,LAL,2,7,5,1,4,71,42,29,481,314,167,0.653,,,,12.0,5.0,7.0,83.0,47.0,36.0,2012,,2008-2018
684,684,Bernie Bickerstaff,LAL,1,14,5,4,1,5,4,1,937,419,518,0.447,,,,,,,33.0,12.0,21.0,2012,,2008-2018
685,685,Mike D'Antoni,LAL,1,11,72,40,32,72,40,32,799,428,371,0.536,4.0,0.0,4.0,4.0,0.0,4.0,59.0,26.0,33.0,2012,0.0,2008-2018
686,686,Lionel Hollins,MEM,7,7,82,56,26,415,214,201,415,214,201,0.516,15.0,8.0,7.0,35.0,18.0,17.0,35.0,18.0,17.0,2012,0.5333333333333333,2008-2018
687,687,Erik Spoelstra,MIA,5,5,82,66,16,394,260,134,394,260,134,0.66,23.0,16.0,7.0,79.0,50.0,29.0,79.0,50.0,29.0,2012,0.6956521739130435,2008-2018
688,688,Scott Skiles,MIL,5,13,32,16,16,344,162,182,876,443,433,0.506,,,,7.0,3.0,4.0,42.0,18.0,24.0,2012,,2008-2018
690,690,Rick Adelman,MIN,2,22,82,31,51,148,57,91,1709,1002,707,0.586,,,,,,,157.0,79.0,78.0,2012,,2008-2018
692,692,Mike Woodson,NYK,2,8,82,54,28,106,72,34,598,278,320,0.465,12.0,6.0,6.0,17.0,7.0,10.0,46.0,18.0,28.0,2012,0.5,2008-2018
693,693,Scott Brooks,OKC,5,5,82,60,22,381,234,147,381,234,147,0.614,11.0,5.0,6.0,54.0,29.0,25.0,54.0,29.0,25.0,2012,0.45454545454545453,2008-2018
695,695,Doug Collins,PHI,3,11,82,34,48,230,110,120,849,442,407,0.521,,,,18.0,8.0,10.0,56.0,23.0,33.0,2012,,2008-2018
696,696,Alvin Gentry,PHO,5,12,41,13,28,302,158,144,705,335,370,0.475,,,,16.0,10.0,6.0,21.0,12.0,9.0,2012,,2008-2018
698,698,Terry Stotts,POR,1,5,82,33,49,82,33,49,365,148,217,0.405,,,,,,,5.0,1.0,4.0,2012,,2008-2018
700,700,Gregg Popovich,SAS,17,17,82,58,24,1328,905,423,1328,905,423,0.6809999999999999,21.0,15.0,6.0,216.0,133.0,83.0,216.0,133.0,83.0,2012,0.7142857142857143,2008-2018
701,701,Dwane Casey,TOR,2,4,82,34,48,148,57,91,270,110,160,0.407,,,,,,,,,,2012,,2008-2018
703,703,Randy Wittman,WAS,2,7,82,29,53,131,47,84,438,147,291,0.336,,,,,,,,,,2012,,2008-2018
704,704,Cotton Fitzsimmons,ATL,4,6,74,28,46,320,140,180,484,237,247,0.49,,,,6.0,2.0,4.0,6.0,2.0,4.0,1975,,1969-1979
706,706,Tom Heinsohn,BOS,7,7,82,54,28,574,372,202,574,372,202,0.648,18.0,12.0,6.0,71.0,42.0,29.0,71.0,42.0,29.0,1975,0.6666666666666666,1969-1979
707,707,Jack Ramsay,LAC,4,8,82,46,36,328,158,170,656,332,324,0.506,9.0,4.0,5.0,22.0,9.0,13.0,39.0,14.0,25.0,1975,0.4444444444444444,1969-1979
708,708,Dick Motta,CHI,8,8,82,24,58,656,356,300,656,356,300,0.5429999999999999,,,,47.0,18.0,29.0,47.0,18.0,29.0,1975,,1969-1979
709,709,Bill Fitch,CLE,6,6,82,49,33,492,188,304,492,188,304,0.382,13.0,6.0,7.0,13.0,6.0,7.0,13.0,6.0,7.0,1975,0.46153846153846156,1969-1979
712,712,Al Attles,GSW,7,7,82,59,23,522,298,224,522,298,224,0.5710000000000001,13.0,7.0,6.0,51.0,26.0,25.0,51.0,26.0,25.0,1975,0.5384615384615384,1969-1979
714,714,Phil Johnson,SAC,3,3,82,31,51,222,102,120,222,102,120,0.459,,,,6.0,2.0,4.0,6.0,2.0,4.0,1975,,1969-1979
716,716,Larry Costello,MIL,8,8,82,38,44,656,407,249,656,407,249,0.62,3.0,1.0,2.0,60.0,37.0,23.0,60.0,37.0,23.0,1975,0.3333333333333333,1969-1979
717,717,Butch van Breda Kolff,UTA,2,9,82,38,44,148,60,88,577,273,304,0.473,,,,,,,33.0,21.0,12.0,1975,,1969-1979
718,718,Red Holzman,NYK,9,13,82,38,44,700,426,274,903,509,394,0.564,,,,95.0,54.0,41.0,103.0,58.0,45.0,1975,,1969-1979
719,719,Gene Shue,PHI,3,10,82,46,36,246,105,141,794,396,398,0.499,3.0,1.0,2.0,3.0,1.0,2.0,43.0,15.0,28.0,1975,0.3333333333333333,1969-1979
720,720,John MacLeod,PHO,3,3,82,42,40,246,104,142,246,104,142,0.423,19.0,10.0,9.0,19.0,10.0,9.0,19.0,10.0,9.0,1975,0.5263157894736842,1969-1979
721,721,Lenny Wilkens,POR,2,5,82,37,45,164,75,89,410,196,214,0.478,,,,,,,,,,1975,,1969-1979
722,722,Bill Russell,OKC,3,6,82,43,39,246,122,124,491,284,207,0.578,6.0,2.0,4.0,15.0,6.0,9.0,61.0,34.0,27.0,1975,0.3333333333333333,1969-1979
723,723,K.C. Jones,WAS,3,4,82,48,34,246,155,91,330,185,145,0.561,7.0,3.0,4.0,31.0,14.0,17.0,35.0,14.0,21.0,1975,0.42857142857142855,1969-1979
725,725,Doc Rivers,BOS,8,13,66,39,27,640,375,265,979,546,433,0.5579999999999999,20.0,11.0,9.0,100.0,57.0,43.0,115.0,62.0,53.0,2011,0.55,2008-2018
726,726,Paul Silas,CHO,6,12,66,7,59,401,193,208,875,387,488,0.442,,,,23.0,11.0,12.0,29.0,13.0,16.0,2011,,2008-2018
727,727,Tom Thibodeau,CHI,2,2,66,50,16,148,112,36,148,112,36,0.757,6.0,2.0,4.0,22.0,11.0,11.0,22.0,11.0,11.0,2011,0.3333333333333333,2008-2018
728,728,Byron Scott,CLE,2,12,66,21,45,148,40,108,855,392,463,0.458,,,,,,,57.0,33.0,24.0,2011,,2008-2018
729,729,Rick Carlisle,DAL,4,10,66,36,30,312,198,114,804,479,325,0.596,4.0,0.0,4.0,41.0,23.0,18.0,103.0,53.0,50.0,2011,0.0,2008-2018
730,730,George Karl,DEN,8,24,66,38,28,598,366,232,1805,1074,731,0.595,7.0,3.0,4.0,53.0,19.0,34.0,179.0,78.0,101.0,2011,0.42857142857142855,2008-2018
731,731,Lawrence Frank,DET,1,8,66,25,41,66,25,41,532,250,282,0.47,,,,,,,38.0,18.0,20.0,2011,,2008-2018
734,734,Frank Vogel,IND,2,2,66,42,24,104,62,42,104,62,42,0.596,11.0,6.0,5.0,16.0,7.0,9.0,16.0,7.0,9.0,2011,0.5454545454545454,2008-2018
736,736,Mike Brown,LAL,1,6,66,41,25,66,41,25,476,313,163,0.6579999999999999,12.0,5.0,7.0,12.0,5.0,7.0,83.0,47.0,36.0,2011,0.4166666666666667,2008-2018
737,737,Lionel Hollins,MEM,6,6,66,41,25,333,158,175,333,158,175,0.474,7.0,3.0,4.0,20.0,10.0,10.0,20.0,10.0,10.0,2011,0.42857142857142855,2008-2018
738,738,Erik Spoelstra,MIA,4,4,66,46,20,312,194,118,312,194,118,0.622,23.0,16.0,7.0,56.0,34.0,22.0,56.0,34.0,22.0,2011,0.6956521739130435,2008-2018
739,739,Scott Skiles,MIL,4,12,66,31,35,312,146,166,844,427,417,0.506,,,,7.0,3.0,4.0,42.0,18.0,24.0,2011,,2008-2018
740,740,Rick Adelman,MIN,1,21,66,26,40,66,26,40,1627,971,656,0.597,,,,,,,157.0,79.0,78.0,2011,,2008-2018
743,743,Mike D'Antoni,NYK,4,10,42,18,24,288,121,167,727,388,339,0.534,,,,4.0,0.0,4.0,55.0,26.0,29.0,2011,,2008-2018
744,744,Mike Woodson,NYK,1,7,24,18,6,24,18,6,516,224,292,0.434,5.0,1.0,4.0,5.0,1.0,4.0,34.0,12.0,22.0,2011,0.2,2008-2018
745,745,Scott Brooks,OKC,4,4,66,47,19,299,174,125,299,174,125,0.5820000000000001,20.0,13.0,7.0,43.0,24.0,19.0,43.0,24.0,19.0,2011,0.65,2008-2018
746,746,Stan Van Gundy,ORL,5,8,66,37,29,394,259,135,579,371,208,0.6409999999999999,5.0,1.0,4.0,59.0,31.0,28.0,87.0,48.0,39.0,2011,0.2,2008-2018
747,747,Doug Collins,PHI,2,10,66,35,31,148,76,72,767,408,359,0.532,13.0,7.0,6.0,18.0,8.0,10.0,56.0,23.0,33.0,2011,0.5384615384615384,2008-2018
748,748,Alvin Gentry,PHO,4,11,66,33,33,261,145,116,664,322,342,0.485,,,,16.0,10.0,6.0,21.0,12.0,9.0,2011,,2008-2018
749,749,Nate McMillan,POR,7,12,43,20,23,535,266,269,930,478,452,0.514,,,,18.0,6.0,12.0,34.0,14.0,20.0,2011,,2008-2018
751,751,Paul Westphal,SAC,3,10,7,2,5,171,51,120,597,318,279,0.5329999999999999,,,,,,,49.0,27.0,22.0,2011,,2008-2018
753,753,Gregg Popovich,SAS,16,16,66,50,16,1246,847,399,1246,847,399,0.68,14.0,10.0,4.0,195.0,118.0,77.0,195.0,118.0,77.0,2011,0.7142857142857143,2008-2018
754,754,Dwane Casey,TOR,1,3,66,23,43,66,23,43,188,76,112,0.404,,,,,,,,,,2011,,2008-2018
756,756,Flip Saunders,WAS,3,16,17,2,15,181,51,130,1164,638,526,0.5479999999999999,,,,,,,98.0,47.0,51.0,2011,,2008-2018
757,757,Randy Wittman,WAS,1,6,49,18,31,49,18,31,356,118,238,0.331,,,,,,,,,,2011,,2008-2018
758,758,Hubie Brown,ATL,1,3,82,31,51,82,31,51,250,135,115,0.54,,,,,,,25.0,17.0,8.0,1976,,1969-1979
759,759,Tom Heinsohn,BOS,8,8,82,44,38,656,416,240,656,416,240,0.634,9.0,5.0,4.0,80.0,47.0,33.0,80.0,47.0,33.0,1976,0.5555555555555556,1969-1979
764,764,Bill Fitch,CLE,7,7,82,43,39,574,231,343,574,231,343,0.402,3.0,1.0,2.0,16.0,7.0,9.0,16.0,7.0,9.0,1976,0.3333333333333333,1969-1979
765,765,Larry Brown,DEN,3,5,82,50,32,250,175,75,418,279,139,0.667,6.0,2.0,4.0,32.0,15.0,17.0,48.0,22.0,26.0,1976,0.3333333333333333,1969-1979
767,767,Al Attles,GSW,8,8,82,46,36,604,344,260,604,344,260,0.57,10.0,5.0,5.0,61.0,31.0,30.0,61.0,31.0,30.0,1976,0.5,1969-1979
768,768,Tom Nissalke,HOU,1,6,82,49,33,82,49,33,367,185,182,0.504,12.0,6.0,6.0,12.0,6.0,6.0,29.0,11.0,18.0,1976,0.5,1969-1979
770,770,Phil Johnson,SAC,4,4,82,40,42,304,142,162,304,142,162,0.467,,,,6.0,2.0,4.0,6.0,2.0,4.0,1976,,1969-1979
772,772,Larry Costello,MIL,9,9,18,3,15,674,410,264,674,410,264,0.608,,,,60.0,37.0,23.0,60.0,37.0,23.0,1976,,1969-1979
773,773,Don Nelson,MIL,1,1,64,27,37,64,27,37,64,27,37,0.422,,,,,,,,,,1976,,1969-1979
774,774,Butch van Breda Kolff,UTA,3,10,26,14,12,174,74,100,603,287,316,0.476,,,,,,,33.0,21.0,12.0,1976,,1969-1979
776,776,Red Holzman,NYK,10,14,82,40,42,782,466,316,985,549,436,0.557,,,,95.0,54.0,41.0,103.0,58.0,45.0,1976,,1969-1979
777,777,Kevin Loughery,BRK,4,5,82,22,60,334,190,144,365,195,170,0.534,,,,32.0,21.0,11.0,32.0,21.0,11.0,1976,,1969-1979
778,778,Gene Shue,PHI,4,11,82,50,32,328,155,173,876,446,430,0.509,19.0,10.0,9.0,22.0,11.0,11.0,62.0,25.0,37.0,1976,0.5263157894736842,1969-1979
779,779,John MacLeod,PHO,4,4,82,34,48,328,138,190,328,138,190,0.421,,,,19.0,10.0,9.0,19.0,10.0,9.0,1976,,1969-1979
780,780,Jack Ramsay,POR,1,9,82,49,33,82,49,33,738,381,357,0.516,19.0,14.0,5.0,19.0,14.0,5.0,58.0,28.0,30.0,1976,0.7368421052631579,1969-1979
781,781,Doug Moe,SAS,1,1,82,44,38,82,44,38,82,44,38,0.537,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1976,0.0,1969-1979
782,782,Bill Russell,OKC,4,7,82,40,42,328,162,166,573,324,249,0.565,,,,15.0,6.0,9.0,61.0,34.0,27.0,1976,,1969-1979
783,783,Dick Motta,WAS,1,9,82,48,34,82,48,34,738,404,334,0.547,9.0,4.0,5.0,9.0,4.0,5.0,56.0,22.0,34.0,1976,0.4444444444444444,1969-1979
784,784,Red Auerbach,BOS,7,11,72,44,28,494,285,209,719,428,291,0.595,10.0,7.0,3.0,37.0,17.0,20.0,57.0,26.0,31.0,1956,0.7,1950-59
786,786,John Kundla,LAL,9,9,72,34,38,620,380,240,620,380,240,0.613,5.0,2.0,3.0,82.0,54.0,28.0,82.0,54.0,28.0,1956,0.4,1950-59
790,790,Red Holzman,ATL,4,4,33,14,19,203,83,120,203,83,120,0.409,,,,8.0,4.0,4.0,8.0,4.0,4.0,1956,,1950-59
792,792,Alex Hannum,ATL,1,1,31,15,16,31,15,16,31,15,16,0.484,10.0,6.0,4.0,10.0,6.0,4.0,10.0,6.0,4.0,1956,0.6,1950-59
793,793,Al Cervi,PHI,8,8,12,4,8,495,294,201,495,294,201,0.594,,,,59.0,33.0,26.0,59.0,33.0,26.0,1956,,1950-59
794,794,Paul Seymour,PHI,1,1,60,34,26,60,34,26,60,34,26,0.5670000000000001,5.0,2.0,3.0,5.0,2.0,3.0,5.0,2.0,3.0,1956,0.4,1950-59
795,795,Hubie Brown,ATL,2,4,82,41,41,164,72,92,332,176,156,0.53,2.0,0.0,2.0,2.0,0.0,2.0,27.0,17.0,10.0,1977,0.0,1969-1979
796,796,Tom Heinsohn,BOS,9,9,34,11,23,690,427,263,690,427,263,0.619,,,,80.0,47.0,33.0,80.0,47.0,33.0,1977,,1969-1979
798,798,Cotton Fitzsimmons,LAC,1,7,82,27,55,82,27,55,566,264,302,0.466,,,,,,,6.0,2.0,4.0,1977,,1969-1979
800,800,Bill Fitch,CLE,8,8,82,43,39,656,274,382,656,274,382,0.418,2.0,0.0,2.0,18.0,7.0,11.0,18.0,7.0,11.0,1977,0.0,1969-1979
801,801,Larry Brown,DEN,4,6,82,48,34,332,223,109,500,327,173,0.654,13.0,6.0,7.0,45.0,21.0,24.0,61.0,28.0,33.0,1977,0.46153846153846156,1969-1979
804,804,Al Attles,GSW,9,9,82,43,39,686,387,299,686,387,299,0.564,,,,61.0,31.0,30.0,61.0,31.0,30.0,1977,,1969-1979
805,805,Tom Nissalke,HOU,2,7,82,28,54,164,77,87,449,213,236,0.474,,,,12.0,6.0,6.0,29.0,11.0,18.0,1977,,1969-1979
807,807,Phil Johnson,SAC,5,5,37,13,24,341,155,186,341,155,186,0.455,,,,6.0,2.0,4.0,6.0,2.0,4.0,1977,,1969-1979
810,810,Don Nelson,MIL,2,2,82,44,38,146,71,75,146,71,75,0.486,9.0,5.0,4.0,9.0,5.0,4.0,9.0,5.0,4.0,1977,0.5555555555555556,1969-1979
811,811,Kevin Loughery,BRK,5,6,82,24,58,416,214,202,447,219,228,0.49,,,,32.0,21.0,11.0,32.0,21.0,11.0,1977,,1969-1979
814,814,Gene Shue,PHI,5,12,6,2,4,334,157,177,882,448,434,0.508,,,,22.0,11.0,11.0,62.0,25.0,37.0,1977,,1969-1979
815,815,Billy Cunningham,PHI,1,1,76,53,23,76,53,23,76,53,23,0.6970000000000001,10.0,6.0,4.0,10.0,6.0,4.0,10.0,6.0,4.0,1977,0.6,1969-1979
816,816,John MacLeod,PHO,5,5,82,49,33,410,187,223,410,187,223,0.456,2.0,0.0,2.0,21.0,10.0,11.0,21.0,10.0,11.0,1977,0.0,1969-1979
817,817,Jack Ramsay,POR,2,10,82,58,24,164,107,57,820,439,381,0.535,6.0,2.0,4.0,25.0,16.0,9.0,64.0,30.0,34.0,1977,0.3333333333333333,1969-1979
818,818,Doug Moe,SAS,2,2,82,52,30,164,96,68,164,96,68,0.585,6.0,2.0,4.0,8.0,2.0,6.0,8.0,2.0,6.0,1977,0.3333333333333333,1969-1979
820,820,Lenny Wilkens,OKC,4,6,60,42,18,306,163,143,470,238,232,0.506,22.0,13.0,9.0,22.0,13.0,9.0,22.0,13.0,9.0,1977,0.5909090909090909,1969-1979
821,821,Dick Motta,WAS,2,10,82,44,38,164,92,72,820,448,372,0.546,21.0,14.0,7.0,30.0,18.0,12.0,77.0,36.0,41.0,1977,0.6666666666666666,1969-1979
822,822,Paul Seymour,WAS,1,7,80,38,42,80,38,42,452,249,203,0.551,3.0,0.0,3.0,3.0,0.0,3.0,35.0,14.0,21.0,1965,0.0,1959-69
823,823,Red Auerbach,BOS,16,20,80,54,26,1192,795,397,1417,938,479,0.662,17.0,11.0,6.0,148.0,90.0,58.0,168.0,99.0,69.0,1965,0.6470588235294118,1959-69
824,824,Jack McMahon,SAC,3,4,80,45,35,240,148,92,278,160,118,0.5760000000000001,5.0,2.0,3.0,19.0,7.0,12.0,19.0,7.0,12.0,1965,0.4,1959-69
830,830,Alex Hannum,GSW,3,8,80,35,45,240,100,140,582,283,299,0.486,,,,12.0,5.0,7.0,51.0,27.0,24.0,1965,,1959-69
831,831,Richie Guerin,ATL,2,2,80,36,44,127,64,63,127,64,63,0.504,10.0,6.0,4.0,14.0,7.0,7.0,14.0,7.0,7.0,1965,0.6,1959-69
833,833,Red Auerbach,BOS,15,19,80,62,18,1112,741,371,1337,884,453,0.6609999999999999,12.0,8.0,4.0,131.0,79.0,52.0,151.0,88.0,63.0,1964,0.6666666666666666,1959-69
834,834,Jack McMahon,SAC,2,3,80,48,32,160,103,57,198,115,83,0.581,4.0,1.0,3.0,14.0,5.0,9.0,14.0,5.0,9.0,1964,0.25,1959-69
841,841,Alex Hannum,GSW,2,7,80,17,63,160,65,95,502,248,254,0.494,,,,12.0,5.0,7.0,51.0,27.0,24.0,1964,,1959-69
843,843,Richie Guerin,ATL,1,1,47,28,19,47,28,19,47,28,19,0.596,4.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,1964,0.25,1959-69
845,845,Red Auerbach,BOS,14,18,80,59,21,1032,679,353,1257,822,435,0.654,10.0,8.0,2.0,119.0,71.0,48.0,139.0,80.0,59.0,1963,0.8,1959-69
846,846,Jack McMahon,SAC,1,2,80,55,25,80,55,25,118,67,51,0.568,10.0,4.0,6.0,10.0,4.0,6.0,10.0,4.0,6.0,1963,0.4,1959-69
851,851,Alex Hannum,GSW,1,6,80,48,32,80,48,32,422,231,191,0.547,12.0,5.0,7.0,12.0,5.0,7.0,51.0,27.0,24.0,1963,0.4166666666666667,1959-69
853,853,Lenny Wilkens,ATL,4,24,82,56,26,328,201,127,1946,1070,876,0.55,10.0,4.0,6.0,34.0,13.0,21.0,144.0,68.0,76.0,1996,0.4,1988-1998
856,856,Phil Jackson,CHI,8,8,82,69,13,656,483,173,656,483,173,0.736,19.0,15.0,4.0,131.0,96.0,35.0,131.0,96.0,35.0,1996,0.7894736842105263,1988-1998
857,857,Mike Fratello,CLE,4,12,82,42,40,328,179,149,905,503,402,0.556,,,,10.0,1.0,9.0,50.0,19.0,31.0,1996,,1988-1998
859,859,Bernie Bickerstaff,DEN,3,8,13,4,9,127,59,68,572,283,289,0.495,,,,3.0,0.0,3.0,33.0,12.0,21.0,1996,,1988-1998
860,860,Dick Motta,DEN,1,25,69,17,52,69,17,52,1952,935,1017,0.479,,,,,,,126.0,56.0,70.0,1996,,1988-1998
861,861,Doug Collins,DET,2,5,82,54,28,164,100,64,410,237,173,0.578,5.0,2.0,3.0,8.0,2.0,6.0,38.0,15.0,23.0,1996,0.4,1988-1998
862,862,Rick Adelman,GSW,2,8,82,30,52,164,66,98,609,357,252,0.586,,,,,,,69.0,36.0,33.0,1996,,1988-1998
863,863,Rudy Tomjanovich,HOU,6,6,82,57,25,440,281,159,440,281,159,0.639,16.0,9.0,7.0,81.0,48.0,33.0,81.0,48.0,33.0,1996,0.5625,1988-1998
864,864,Larry Brown,IND,4,18,82,39,43,328,190,138,1440,853,587,0.5920000000000001,,,,38.0,22.0,16.0,125.0,61.0,64.0,1996,,1988-1998
865,865,Bill Fitch,LAC,3,24,82,36,46,246,82,164,1968,927,1041,0.471,3.0,0.0,3.0,3.0,0.0,3.0,109.0,55.0,54.0,1996,0.0,1988-1998
866,866,Del Harris,LAL,3,12,82,56,26,246,157,89,919,489,430,0.532,9.0,4.0,5.0,23.0,10.0,13.0,75.0,31.0,44.0,1996,0.4444444444444444,1988-1998
867,867,Pat Riley,MIA,2,15,82,61,21,164,103,61,1219,859,360,0.705,17.0,8.0,9.0,20.0,8.0,12.0,232.0,145.0,87.0,1996,0.47058823529411764,1988-1998
868,868,Chris Ford,MIL,1,6,82,33,49,82,33,49,492,255,237,0.518,,,,,,,29.0,13.0,16.0,1996,,1988-1998
869,869,Flip Saunders,MIN,2,2,82,40,42,144,60,84,144,60,84,0.417,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1996,0.0,1988-1998
871,871,Jeff Van Gundy,NYK,2,2,82,57,25,105,70,35,105,70,35,0.667,10.0,6.0,4.0,18.0,10.0,8.0,18.0,10.0,8.0,1996,0.6,1988-1998
872,872,Brian Hill,ORL,4,4,49,24,25,295,191,104,295,191,104,0.647,,,,36.0,18.0,18.0,36.0,18.0,18.0,1996,,1988-1998
875,875,Cotton Fitzsimmons,PHO,8,21,8,0,8,549,341,208,1607,832,775,0.518,,,,44.0,22.0,22.0,84.0,35.0,49.0,1996,,1988-1998
877,877,P.J. Carlesimo,POR,3,3,82,49,33,246,137,109,246,137,109,0.557,4.0,1.0,3.0,12.0,3.0,9.0,12.0,3.0,9.0,1996,0.25,1988-1998
879,879,Eddie Jordan,SAC,1,1,15,6,9,15,6,9,15,6,9,0.4,,,,,,,,,,1996,,1988-1998
880,880,Bob Hill,SAS,3,7,18,3,15,182,124,58,469,257,212,0.5479999999999999,,,,25.0,14.0,11.0,37.0,17.0,20.0,1996,,1988-1998
881,881,Gregg Popovich,SAS,1,1,64,17,47,64,17,47,64,17,47,0.266,,,,,,,,,,1996,,1988-1998
882,882,George Karl,OKC,6,10,82,57,25,452,323,129,747,442,305,0.5920000000000001,12.0,6.0,6.0,70.0,36.0,34.0,84.0,41.0,43.0,1996,0.5,1988-1998
884,884,Jerry Sloan,UTA,9,12,82,64,18,721,483,238,936,577,359,0.616,20.0,13.0,7.0,97.0,50.0,47.0,103.0,52.0,51.0,1996,0.65,1988-1998
887,887,Jim Lynam,WAS,3,10,46,22,24,210,82,128,720,328,392,0.456,,,,,,,21.0,8.0,13.0,1996,,1988-1998
889,889,Bernie Bickerstaff,WAS,1,8,35,22,13,35,22,13,572,283,289,0.495,3.0,0.0,3.0,3.0,0.0,3.0,33.0,12.0,21.0,1996,0.0,1988-1998
890,890,Gene Shue,WAS,2,2,82,36,46,138,52,86,138,52,86,0.377,,,,,,,,,,1967,,1959-69
891,891,Bill Russell,BOS,2,2,82,54,28,163,114,49,163,114,49,0.6990000000000001,19.0,12.0,7.0,28.0,16.0,12.0,28.0,16.0,12.0,1967,0.631578947368421,1959-69
